"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","Prcp.Day","Prcp.Week","Tavg.Day","Tavg.Week","SampType","BodyCon","Year","SexTT"
379,1,1,9,1,1,15,"S","Gray Fire Department","Back","F","A",9.5,0,"N",45,0,1,1,0,55.5714285714286,-127,-88.5714285714286,3,-1.85173361073528,2019,"F.B"
380,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","J",8,0,"N",65,1,0,0,0,55.5714285714286,-127,-88.5714285714286,3,-0.539752502493096,2019,"F.B"
381,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","A",10.5,0,"N",74,0,1,1,0,55.5714285714286,-127,-88.5714285714286,3,2.86040934498781,2019,"F.B"
382,1,30,30,0,1,15,"S","Gray Fire Department","Back","F","A",10.5,0,"N",83,1,1,1,0,55.5714285714286,-127,-88.5714285714286,3,2.11798075384319,2019,"F.B"
383,1,1,9,1,1,15,"S","Gray Fire Department","Back","F","J",10,0,"N",98,1,0,0,0,55.5714285714286,-127,-88.5714285714286,3,3.68753327094076,2019,"F.B"
384,1,1,9,1,1,15,"S","Gray Fire Department","Back","F","J",8.5,0,"N",108,1,0,0,0,55.5714285714286,-127,-88.5714285714286,3,4.41481904437461,2019,"F.B"
387,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10,1,"N",60,0,1,0,0,61.1428571428571,-111,-123.857142857143,3,-0.609072084826149,2019,"F.B"
388,1,14,16,1,1,16,"NC","Roger's Farm","Back","F","J",7.5,1,"N",68,1,0,0,0,61.1428571428571,-111,-123.857142857143,3,-0.297090976583971,2019,"F.B"
389,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",7.5,1,"N",82,1,1,0,0,61.1428571428571,-111,-123.857142857143,3,-1.03951956772859,2019,"F.B"
391,1,6,9,1,1,16,"NC","Roger's Farm","Back","F","A",9,1,"N",104,1,1,0,0,61.1428571428571,-111,-123.857142857143,3,-3.09392926711538,2019,"F.B"
392,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","A",10,0,"N",126,1,1,0,0,61.1428571428571,-111,-123.857142857143,3,0.133356506318468,2019,"F.B"
393,1,30,30,0,1,16,"NC","Roger's Farm","Back","F","J",8.5,1,"N",135,0,0,0,0,61.1428571428571,-111,-123.857142857143,3,1.44533761456065,2019,"F.B"
