"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","mtCDy","avgmtWk","pcpCDy","avgpcpWk"
451,1,30,30,0,1,30,"NC","130 Stillwater","Neck","M","A",17,0,"N",77,1,1,0,-13.608333269755,-9.48919045357477,7.14800008138021,4.76995236310731
451,1,30,30,0,1,30,"NC","130 Stillwater","Neck","M","A",17,0,"N",77,1,1,0,-13.6263332366943,-7.97833333696638,0,0.143238093171801
459,1,30,30,0,1,16,"NC","Roger's Farm","Back","M","J",12,1,"N",166,0.74468085106383,1,0,-17.022125005722,-17.0235891682761,0,7.42435714043677
460,1,30,30,0,1,30,"NC","Junkyard","Back","M","J",14,1,"N",30,0,0,1,-18.4153334299723,-14.1164286023095,5.11699994405111,1.03747618766058
461,1,2,5,1,1,30,"NC","Junkyard","Back","M","J",11,1,"N",50,0.74468085106383,1,0,-18.4153334299723,-14.1164286023095,5.11699994405111,1.03747618766058
462,1,2,5,1,1,30,"NC","Junkyard","Back","M","J",10.5,1,"N",71,0,1,1,-18.4153334299723,-14.1164286023095,5.11699994405111,1.03747618766058
466,1,30,30,0,1,30,"NC","130 Stillwater","Back","M","A",17,0,"N",77,1,0,1,-18.4153334299723,-14.1164286023095,5.11699994405111,1.03747618766058
466,1,30,30,0,1,30,"NC","130 Stillwater","Back","M","A",17,0,"N",77,1,0,1,-13.6263332366943,-7.97833333696638,0,0.143238093171801
468,1,30,30,0,1,36,"NW","Brad St","Neck","M","J",13.5,1,"N",124,0.74468085106383,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
470,1,30,30,0,1,36,"NW","Brad St","Neck","M","J",11.5,1,"N",133,0.74468085106383,1,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
471,1,30,30,0,1,36,"NW","Brad St","Neck","M","J",13,1,"N",140,0.74468085106383,0,0,-8.55116669336955,-11.0489524319058,0,0.796499998796554
472,1,30,30,0,1,58,"NC","Emera","Neck","M","A",18,0,"N",140,0.74468085106383,0,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
473,1,30,30,0,1,58,"NC","Emera","Neck","M","A",17,0,"N",140,0.74468085106383,1,0,-19.0591665903727,-13.0599285647983,0,2.46702383744663
474,1,9,12,1,1,72,"NC","Davis Oil","Neck","M","J",9,0,"N",80,1,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
475,1,30,30,0,1,72,"NC","Davis Oil","Back","M","A",20.5,1,"N",129,0,1,0,-5.34149996439616,-5.91549999089468,0,0.27295238063449
476,1,30,30,0,1,78,"NW","Smith (Corinna)","Neck","M","A",17.5,0,"N",33,0.74468085106383,1,0,-16.2064286640712,-6.65297961356688,0,2.97218369464485
477,1,30,30,0,1,78,"NW","Smith (Corinna)","Neck","M","A",21,1,"N",54,0.74468085106383,1,0,-16.2064286640712,-6.65297961356688,0,2.97218369464485
478,1,30,30,0,1,78,"NW","Smith (Corinna)","Neck","M","A",21.5,0,"N",68,1,1,0,-16.2064286640712,-6.65297961356688,0,2.97218369464485
516,1,30,30,0,1,22,"NW","Glenburn","Neck","M","J",15,1,"N",72,1,1,1,-14.5335998535156,-7.38945713383811,0,3.35514289992196
