"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq"
1007,1,30,30,0,1
1008,1,30,30,0,1
1009,1,30,30,0,1
1251,1,30,30,0,1
1254,1,30,30,0,1
1301,1,30,30,0,1
1302,1,30,30,0,1
1501,1,30,30,0,1
1502,1,30,30,0,1
1521,1,30,30,0,1
1522,1,30,30,0,1
1523,1,30,30,0,1
1524,1,30,30,0,1
1525,1,30,30,0,1
1551,1,30,30,0,1
1552,1,30,30,0,1
1553,1,30,30,0,1
1554,1,30,30,0,1
1555,1,30,30,0,1
1556,1,30,30,0,1
1557,1,30,30,0,1
1558,1,30,30,0,1
1559,1,30,30,0,1
1560,1,30,30,0,1
1561,1,30,30,0,1
1562,1,30,30,0,1
1563,1,30,30,0,1
1564,1,30,30,0,1
1565,1,30,30,0,1
1614,1,30,30,0,1
1615,1,30,30,0,1
1616,1,30,30,0,1
1618,1,30,30,0,1
1620,1,30,30,0,1
1621,1,30,30,0,1
1622,1,30,30,0,1
1623,1,30,30,0,1
1624,1,30,30,0,1
1625,1,30,30,0,1
1626,1,30,30,0,1
1627,1,30,30,0,1
1628,1,30,30,0,1
10352,1,30,30,0,1
10353,1,30,30,0,1
10354,1,1,7,1,1
10361,1,30,30,0,1
10362,1,20,25,1,1
10363,1,20,25,1,1
10364,1,30,30,0,1
10365,1,13,20,1,1
10366,1,30,30,0,1
10367,1,30,30,0,1
10369,1,30,30,0,1
10371,1,30,30,0,1
10372,1,30,30,0,1
10376,1,30,30,0,1
10383,1,30,30,0,1
